,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
"da Cunha AS, 1987","da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",s. mansoni,Brazil,Praziquantel ,Single,60 mg/kg ,20,15-55,1: 1.22,1987,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Yes,Yes,6 months,25%,64.00%,"In conclusion, it has been proven thât praziquantel is a highly efncacious agent against S, mansoni infections, If âdministered at a total dose of 180 mg/kg divided into either 3 or 6 days, it yields a 907o cure tate. possibly, one Could reac¡' IOO% by increâsing the totâl dose to 240 mg/kg. Furthermore, it wâs conhrmed that the quântitative oogram technique is the most reliable parâsitologicâl method when evaluating the efficacy of new dn¡gs in schistosomiasis mansoni.",80 patients total were involved in the study divided in 4 groups of 20 ,"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,,,,,,,,,,,,,,,,
"da Cunha AS, 1987","da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",s. mansoni,Brazil,Praziquantel ,Single,60 mg/kg for 2 days,20,15-55,1: 4,1987,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Yes,Yes,6 months,60%,73.10%,"In conclusion, it has been proven thât praziquantel is a highly efncacious agent against S, mansoni infections, If âdministered at a total dose of 180 mg/kg divided into either 3 or 6 days, it yields a 907o cure tate. possibly, one Could reac¡' IOO% by increâsing the totâl dose to 240 mg/kg. Furthermore, it wâs conhrmed that the quântitative oogram technique is the most reliable parâsitologicâl method when evaluating the efficacy of new dn¡gs in schistosomiasis mansoni.",80 patients total were involved in the study divided in 4 groups of 20,"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,,,,,,,,,,,,,,,,
"da Cunha AS, 1987","da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",s. mansoni,Brazil,Praziquantel ,Single,60 mg/kg for 3 days,20,15-55,1: 1,1987,adolescent and adults patients aged 15 to 55 years with no previous antischistosomal treatment who were infected with S. mansoni,Yes,Yes,6 months,89.50%,86.60%,"In conclusion, it has been proven thât praziquantel is a highly efncacious agent against S, mansoni infections, If âdministered at a total dose of 180 mg/kg divided into either 3 or 6 days, it yields a 907o cure tate. possibly, one Could reac¡' IOO% by increâsing the totâl dose to 240 mg/kg. Furthermore, it wâs conhrmed that the quântitative oogram technique is the most reliable parâsitologicâl method when evaluating the efficacy of new dn¡gs in schistosomiasis mansoni.",80 patients total were involved in the study divided in 4 groups of 20,"da Cunha AS, Pedrosa RC. Double-blind therapeutical evaluation based on the quantitative oogram technique, comparing praziquantel and oxamniquine in human Schistosomiasis mansoni. Revista do Instituto de Medicina Tropical de São Paulo 1986;28(5):337–51.",,,,,,,,,,,,,,,,,,
"da Silva LC, 1986","da SILVA, LUIZ C., et al. ""A randomized trial for the study of the elective surgical treatment of portal hypertension in mansonic schistosomiasis."" Annals of surgery 204.2 (1986): 148.",s. mansoni ,Brazil,Praziquantel ,Single,55 mg/kg,120,18-55,1:1,1986,patients with chronic intestinal or hepato-intestinal S. mansoni infec- tion aged over 14 years,Yes,Yes,efficacy determined by eliminated viable eggs in the 3 stool examination from the 1st month 3 month and 6 month. Cure rate was on 6 month,79.20%,93.50%,"data show not only that DSRS is superior but that SRS should be abandoned in hepatosplenic schistosomiasis. On the other hand, a comparison between DSRS and EGDS with more patients and a longer follow-up is urgently needed.",A Randomized Trial for the Study of the Elective Surgical Treatment of Portal Hypertension in Mansonic Schistosomiasis,"da SILVA, LUIZ C., et al. ""A randomized trial for the study of the elective surgical treatment of portal hypertension in mansonic schistosomiasis."" Annals of surgery 204.2 (1986): 148.",,,,,,,,,,,,,,,,,,
"da Silva LC, 1986","da SILVA, LUIZ C., et al. ""A randomized trial for the study of the elective surgical treatment of portal hypertension in mansonic schistosomiasis."" Annals of surgery 204.2 (1986): 148.",s. mansoni,Brazil,Oxamniquine ,Single,15 mg/kg,120,18-55,1:1,1986,patients with chronic intestinal or hepato-intestinal S. mansoni infec- tion aged over 14 years,Yes,Yes,efficacy determined by eliminated viable eggs in the 3 stool examination from the 1st month 3 month and 6 month. Cure rate was on 6 month,84.80%,84.10%,"data show not only that DSRS is superior but that SRS should be abandoned in hepatosplenic schistosomiasis. On the other hand, a comparison between DSRS and EGDS with more patients and a longer follow-up is urgently needed.",A Randomized Trial for the Study of the Elective Surgical Treatment of Portal Hypertension in Mansonic Schistosomiasis,"da SILVA, LUIZ C., et al. ""A randomized trial for the study of the elective surgical treatment of portal hypertension in mansonic schistosomiasis."" Annals of surgery 204.2 (1986): 148.",,,,,,,,,,,,,,,,,,
"Davis, 2015","Davis, Stephanie M., et al. ""Morbidity Associated with Schistosomiasis Before and After Treatment in Young Children in Rusinga Island, Western Kenya."" The American journal of tropical medicine and hygiene 92.5 (2015): 952-958.",s. mansoni,Kenya,Praziquantel,Single,40 mg/kg,201,under 7yrs,1:1,2015,"Infected children under 7yrs old, divided into light (1-99 eggs per gram [epg]), moderate (100-399 epg), or heavy (equal to or greater than 400 epg) intensity",No,No,3-5 months,79.30%,,"The associations found here, particularly if confirmed in larger population-based studies, add to the growing body of evidence for measurable sequelae associated with schistosomiasis in children currently excluded from the global schistosomiasis control program by virtue of their young age. In addition to scaling up sanitation measures that benefit all age groups, this supports the continued pursuit of appropriate formulations and dosing standards for MDA in this population.","Morbidity Associated with Schistosomiasis Before and After Treatment in Young Children in Rusinga Island, Western Kenya","Davis, Stephanie M., et al. ""Morbidity Associated with Schistosomiasis Before and After Treatment in Young Children in Rusinga Island, Western Kenya."" The American journal of tropical medicine and hygiene 92.5 (2015): 952-958.",,x,,,,,,,,,,,,,,,,
"Davis, 1979","Davis, A., J. E. Biles, and A-M. Ulrich. ""Initial experiences with praziquantel in the treatment of human infections due to Schistosoma haematobium."" Bulletin of the World Health Organization 57.5 (1979): 773.",s.haematobium,Zambia,Praziquantel,Single,"20 mg/kg, 50mg/kg",73,7 - 22,50 : 30,1979,patients with a minimum schistosome egg excretion of 50 per random 10-mlsampleofurine in age range of 7 - 22,Yes,Yes,"6, 12, 24 months ",57%,84.0%,"Two years after treatment, 45 (57%) of 79 patients with S. haematobium showed negative urines, 7 (9%) had positive hatching tests, and 27 (34%) were absent",Initial experiences with praziquantel in the treatment of human infections due to Schistosoma haematobium,"Davis, A., J. E. Biles, and A-M. Ulrich. ""Initial experiences with praziquantel in the treatment of human infections due to Schistosoma haematobium."" Bulletin of the World Health Organization 57.5 (1979): 773.",,,,,,,,,,,,,,,,,,
"de Clarke V, 1976","de Clarke V, Blair DM, Weber MC, Garnett PA. Dose- finding trials of oral oxamniquine in Rhodesia. South African Medical Journal 1976;50(46):1867–71.",s. mansoni,Rhodesia ,Oxamniquine,Four,15 mg/kg,30,<5 years,data not available,1976,individuals aged over 5 years who presented with S. mansoni infection,Yes,Yes,4 months examined failed rates by two stools on two consecutive days,70%,,"The imminent release of this drug, which is only effective against S. mansoni infections, and the probable release in the near future of metrifonate, which is only effective against S. haematobium."" will necessitate para-sitological identification of species in all cases of bil-harziasis. This should assist in overcoming the wide-spread but reprehensible practice of treating patients on the results of immunological tests, without confirmation of viability of infection or determination of schistosome species by examination of urine and stool specimens or biopsy material.",,"de Clarke V, Blair DM, Weber MC, Garnett PA. Dose- finding trials of oral oxamniquine in Rhodesia. South African Medical Journal 1976;50(46):1867–71.",,,,,,,,,,,,,,,,,,
"De Clercq D, 2001","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",s. haematobium,Senegal,Artesunate,Single,12 mg/kg,110,7 - 14 ,1 : 1,2001,individuals with Schistosoma mansoni infection was investigated,Yes,Yes,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",19%,62%,"""No major adverse effects were observed. The results demonstrate that artesunate is effective against S. haematobium, but the results obtained with praziquantel were consistently better.""","""Efficacy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren""","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,,,,,,,,,,,,,,,,
"De Clercq D, 2001","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",s. haematobium,Senegal,Praziquantel ,Two,40 mg/kg ,110,7 - 14,1:1,2001,individuals with Schistosoma mansoni infection was investigated,Yes,Yes,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",49%,79%,"""No major adverse effects were observed. The results demonstrate that artesunate is effective against S. haematobium, but the results obtained with praziquantel were consistently better.""","""Efficacy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren""","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,,,,,,,,,,,,,,,,
"De Clercq D, 2001","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",s. haematobium,Senegal,Artesunate & Praziquantel ,Single,12 mg/kg; 40 mg/kg,110,7 - 14,1:1,2001,individuals with Schistosoma mansoni infection was investigated,Yes,Yes,"The cure rate was calculated as the proportion of peoplewho were excreting eggs before treatment and who were notexcreting eggs in their stools 5, 12 and 24 weeks after treatment",49%,82%,"""No major adverse effects were observed. The results demonstrate that artesunate is effective against S. haematobium, but the results obtained with praziquantel were consistently better.""","""Efficacy of artesunate and praziquantel in Schistosoma haematobium infected schoolchildren""","De Clercq D, Vercruysse J, Verle P, Kongs A, Diop M. What is the effect of combining artesunate and praziquantel in the treatment of Schistosoma mansoni infections?. Tropical Medicine and International Health 2000;5(10):744–6",,,,,,,,,,,,,,,,,,
"de Jonge N, 1990","De Jonge, N., et al. ""Mixed Schistosoma haematobium and S. mansoni infection: effect of different treatments on the serum level of circulating anodic antigen (CAA)."" Acta tropica 48.1 (1990): 25-35.",s. mansoni,Sudan,Praziquantel,Single,40 mg/kg,48,6 - 11,male ,1990,school boys age ranged from 6 to1years.These patients were infected with S.mansoni and S.haematobiumas indicated by constant excretion of ova in stool and urine.,Yes,Yes,Results were expressed as number of viable ova per 10 ml of urine 1 month and 5 months after treatment,22.50%,92.50%,the use of monoclonal reactants instead of polyclonal considerably increases the sensitivity of antigen detection.,Mixed Sch&tosoma haematobium and S. mansoni infection: Effect of different treatments on the serum level of circulating anodic antigen (CAA),"De Jonge, N., et al. ""Mixed Schistosoma haematobium and S. mansoni infection: effect of different treatments on the serum level of circulating anodic antigen (CAA)."" Acta tropica 48.1 (1990): 25-35.",,,,,,,,,,,,,,,,,,
